,Date,Location,MinTemp,MaxTemp
64270,2009-03-21,MelbourneAirport,12.4,34.7
64271,2009-03-22,MelbourneAirport,20.5,24.5
64272,2009-03-23,MelbourneAirport,13.7,19.0
64273,2009-03-24,MelbourneAirport,10.3,21.6
64274,2009-03-25,MelbourneAirport,14.5,23.5
64275,2009-03-26,MelbourneAirport,13.4,24.6
64276,2009-03-27,MelbourneAirport,9.3,20.0
64277,2009-03-28,MelbourneAirport,8.4,27.3
64278,2009-03-29,MelbourneAirport,10.4,26.8
64279,2009-03-30,MelbourneAirport,13.0,22.4
64280,2009-03-31,MelbourneAirport,12.1,30.2
64281,2009-04-01,MelbourneAirport,12.0,28.8
64282,2009-04-02,MelbourneAirport,15.7,31.8
64283,2009-04-03,MelbourneAirport,21.7,24.2
64284,2009-04-04,MelbourneAirport,9.6,17.3
64285,2009-04-05,MelbourneAirport,9.5,20.2
64286,2009-04-06,MelbourneAirport,7.1,16.1
64287,2009-04-07,MelbourneAirport,9.6,17.7
64288,2009-04-08,MelbourneAirport,11.0,19.0
64289,2009-04-09,MelbourneAirport,12.4,26.3
64290,2009-04-10,MelbourneAirport,11.9,19.0
64291,2009-04-11,MelbourneAirport,12.1,22.0
64292,2009-04-12,MelbourneAirport,10.5,21.9
64293,2009-04-13,MelbourneAirport,8.1,25.2
64294,2009-04-14,MelbourneAirport,11.3,28.3
64295,2009-04-15,MelbourneAirport,11.5,16.6
64296,2009-04-16,MelbourneAirport,5.6,19.9
64297,2009-04-17,MelbourneAirport,11.3,21.2
64298,2009-04-18,MelbourneAirport,10.2,18.0
64299,2009-04-19,MelbourneAirport,12.3,17.1
64300,2009-04-20,MelbourneAirport,8.7,20.9
64301,2009-04-21,MelbourneAirport,7.9,23.7
64302,2009-04-22,MelbourneAirport,8.1,24.0
64303,2009-04-23,MelbourneAirport,9.3,22.8
64304,2009-04-24,MelbourneAirport,15.0,17.7
64305,2009-04-25,MelbourneAirport,9.9,18.8
64306,2009-04-26,MelbourneAirport,7.2,13.1
64307,2009-04-27,MelbourneAirport,5.9,14.0
64308,2009-04-28,MelbourneAirport,5.6,12.4
64309,2009-04-29,MelbourneAirport,5.0,11.9
64310,2009-04-30,MelbourneAirport,1.2,17.6
64311,2009-05-01,MelbourneAirport,7.7,15.3
64312,2009-05-02,MelbourneAirport,5.5,16.9
64313,2009-05-03,MelbourneAirport,4.7,17.5
64314,2009-05-04,MelbourneAirport,7.5,15.9
64315,2009-05-05,MelbourneAirport,6.2,16.3
64316,2009-05-06,MelbourneAirport,8.1,16.1
64317,2009-05-07,MelbourneAirport,10.6,16.8
64318,2009-05-08,MelbourneAirport,10.1,14.9
64319,2009-05-09,MelbourneAirport,11.1,15.9
64320,2009-05-10,MelbourneAirport,9.3,16.5
64321,2009-05-11,MelbourneAirport,6.5,16.8
64322,2009-05-12,MelbourneAirport,7.0,15.1
64323,2009-05-13,MelbourneAirport,7.3,16.8
64324,2009-05-14,MelbourneAirport,8.2,16.5
64325,2009-05-15,MelbourneAirport,12.1,19.1
64326,2009-05-16,MelbourneAirport,10.6,15.2
64327,2009-05-17,MelbourneAirport,9.0,16.0
64328,2009-05-18,MelbourneAirport,6.2,16.9
64329,2009-05-19,MelbourneAirport,3.2,21.3
64330,2009-05-20,MelbourneAirport,6.6,20.8
64331,2009-05-21,MelbourneAirport,6.3,16.5
64332,2009-05-22,MelbourneAirport,4.2,19.0
64333,2009-05-23,MelbourneAirport,6.3,23.0
64334,2009-05-24,MelbourneAirport,12.3,19.8
64335,2009-05-25,MelbourneAirport,14.2,21.5
64336,2009-05-26,MelbourneAirport,9.9,16.7
64337,2009-05-27,MelbourneAirport,5.5,15.0
64338,2009-05-28,MelbourneAirport,8.4,14.7
64339,2009-05-29,MelbourneAirport,3.7,15.3
64340,2009-05-30,MelbourneAirport,4.4,14.9
64341,2009-05-31,MelbourneAirport,3.9,15.2
64342,2009-06-01,MelbourneAirport,6.2,14.7
64343,2009-06-02,MelbourneAirport,8.5,13.4
64344,2009-06-03,MelbourneAirport,10.3,15.5
64345,2009-06-04,MelbourneAirport,10.8,15.7
64346,2009-06-05,MelbourneAirport,5.4,16.4
64347,2009-06-06,MelbourneAirport,4.7,12.4
64348,2009-06-07,MelbourneAirport,7.0,13.7
64349,2009-06-08,MelbourneAirport,7.1,15.0
64350,2009-06-09,MelbourneAirport,5.1,12.2
64351,2009-06-10,MelbourneAirport,4.4,10.4
64352,2009-06-11,MelbourneAirport,3.5,11.4
64353,2009-06-12,MelbourneAirport,1.4,10.3
64354,2009-06-13,MelbourneAirport,5.8,12.2
64355,2009-06-14,MelbourneAirport,7.0,15.6
64356,2009-06-15,MelbourneAirport,2.7,14.1
64357,2009-06-16,MelbourneAirport,4.7,13.4
64358,2009-06-17,MelbourneAirport,5.1,11.3
64359,2009-06-18,MelbourneAirport,1.6,16.3
64360,2009-06-19,MelbourneAirport,4.3,16.3
64361,2009-06-20,MelbourneAirport,6.2,12.8
64362,2009-06-21,MelbourneAirport,10.7,14.8
64363,2009-06-22,MelbourneAirport,6.7,16.8
64364,2009-06-23,MelbourneAirport,8.3,16.7
64365,2009-06-24,MelbourneAirport,7.5,16.1
64366,2009-06-25,MelbourneAirport,4.2,14.3
64367,2009-06-26,MelbourneAirport,7.3,14.3
64368,2009-06-27,MelbourneAirport,4.4,13.3
64369,2009-06-28,MelbourneAirport,3.1,15.7
64370,2009-06-29,MelbourneAirport,7.1,17.1
64371,2009-06-30,MelbourneAirport,11.8,18.1
64372,2009-07-01,MelbourneAirport,10.1,14.6
64373,2009-07-02,MelbourneAirport,7.4,11.9
64374,2009-07-03,MelbourneAirport,7.1,11.8
64375,2009-07-04,MelbourneAirport,7.3,14.6
64376,2009-07-05,MelbourneAirport,7.1,11.3
64377,2009-07-06,MelbourneAirport,4.5,12.4
64378,2009-07-07,MelbourneAirport,1.8,12.6
64379,2009-07-08,MelbourneAirport,0.9,14.1
64380,2009-07-09,MelbourneAirport,1.7,14.9
64381,2009-07-10,MelbourneAirport,3.7,12.8
64382,2009-07-11,MelbourneAirport,9.6,13.0
64383,2009-07-12,MelbourneAirport,9.0,15.0
64384,2009-07-13,MelbourneAirport,5.5,13.7
64385,2009-07-14,MelbourneAirport,5.6,12.5
64386,2009-07-15,MelbourneAirport,6.4,12.6
64387,2009-07-16,MelbourneAirport,2.7,13.2
64388,2009-07-17,MelbourneAirport,1.7,13.7
64389,2009-07-18,MelbourneAirport,3.6,12.3
64390,2009-07-19,MelbourneAirport,6.0,14.7
64391,2009-07-20,MelbourneAirport,9.4,18.0
64392,2009-07-21,MelbourneAirport,9.6,17.3
64393,2009-07-22,MelbourneAirport,8.2,15.9
64394,2009-07-23,MelbourneAirport,5.3,12.4
64395,2009-07-24,MelbourneAirport,2.7,12.4
64396,2009-07-25,MelbourneAirport,6.1,12.4
64397,2009-07-26,MelbourneAirport,5.7,15.1
64398,2009-07-27,MelbourneAirport,4.5,15.2
64399,2009-07-28,MelbourneAirport,5.6,14.1
64400,2009-07-29,MelbourneAirport,8.3,16.6
64401,2009-07-30,MelbourneAirport,7.0,15.4
64402,2009-07-31,MelbourneAirport,6.1,14.3
64403,2009-08-01,MelbourneAirport,7.6,16.0
64404,2009-08-02,MelbourneAirport,8.8,16.0
64405,2009-08-03,MelbourneAirport,7.0,13.6
64406,2009-08-04,MelbourneAirport,7.1,15.5
64407,2009-08-05,MelbourneAirport,6.1,16.1
64408,2009-08-06,MelbourneAirport,8.8,17.7
64409,2009-08-07,MelbourneAirport,8.9,12.7
64410,2009-08-08,MelbourneAirport,2.7,15.3
64411,2009-08-09,MelbourneAirport,6.0,12.4
64412,2009-08-10,MelbourneAirport,7.2,12.2
64413,2009-08-11,MelbourneAirport,7.0,13.9
64414,2009-08-12,MelbourneAirport,3.5,14.1
64415,2009-08-13,MelbourneAirport,7.2,17.2
64416,2009-08-14,MelbourneAirport,6.7,17.1
64417,2009-08-15,MelbourneAirport,8.8,17.5
64418,2009-08-16,MelbourneAirport,10.4,16.5
64419,2009-08-17,MelbourneAirport,7.4,15.3
64420,2009-08-18,MelbourneAirport,5.8,16.1
64421,2009-08-19,MelbourneAirport,8.5,18.1
64422,2009-08-20,MelbourneAirport,9.8,17.4
64423,2009-08-21,MelbourneAirport,9.9,17.8
64424,2009-08-22,MelbourneAirport,3.2,14.7
64425,2009-08-23,MelbourneAirport,8.0,18.2
64426,2009-08-24,MelbourneAirport,11.6,16.9
64427,2009-08-25,MelbourneAirport,4.8,13.7
64428,2009-08-26,MelbourneAirport,5.6,15.1
64429,2009-08-27,MelbourneAirport,7.7,17.6
64430,2009-08-28,MelbourneAirport,9.0,19.0
64431,2009-08-29,MelbourneAirport,10.5,15.4
64432,2009-08-30,MelbourneAirport,5.0,15.1
64433,2009-08-31,MelbourneAirport,7.5,16.9
64434,2009-09-01,MelbourneAirport,4.4,15.3
64435,2009-09-02,MelbourneAirport,6.7,18.0
64436,2009-09-03,MelbourneAirport,9.0,22.1
64437,2009-09-04,MelbourneAirport,6.8,16.1
64438,2009-09-05,MelbourneAirport,4.6,16.4
64439,2009-09-06,MelbourneAirport,4.6,16.2
64440,2009-09-07,MelbourneAirport,6.4,16.1
64441,2009-09-08,MelbourneAirport,7.5,15.3
64442,2009-09-09,MelbourneAirport,7.8,13.1
64443,2009-09-10,MelbourneAirport,8.5,14.6
64444,2009-09-11,MelbourneAirport,4.9,21.3
64445,2009-09-12,MelbourneAirport,11.8,30.2
64446,2009-09-13,MelbourneAirport,14.3,19.9
64447,2009-09-14,MelbourneAirport,4.3,16.1
64448,2009-09-15,MelbourneAirport,3.1,19.4
64449,2009-09-16,MelbourneAirport,8.3,22.8
64450,2009-09-17,MelbourneAirport,15.2,17.7
64451,2009-09-18,MelbourneAirport,6.8,17.8
64452,2009-09-19,MelbourneAirport,8.1,20.2
64453,2009-09-20,MelbourneAirport,7.0,17.3
64454,2009-09-21,MelbourneAirport,6.6,19.5
64455,2009-09-22,MelbourneAirport,9.5,18.6
64456,2009-09-23,MelbourneAirport,10.0,17.4
64457,2009-09-24,MelbourneAirport,8.9,18.9
64458,2009-09-25,MelbourneAirport,11.0,15.0
64459,2009-09-26,MelbourneAirport,6.6,13.8
64460,2009-09-27,MelbourneAirport,6.1,12.1
64461,2009-09-28,MelbourneAirport,7.7,13.7
64462,2009-09-29,MelbourneAirport,5.5,19.2
64463,2009-09-30,MelbourneAirport,10.8,23.0
64464,2009-10-01,MelbourneAirport,11.9,15.7
64465,2009-10-02,MelbourneAirport,8.7,13.4
64466,2009-10-03,MelbourneAirport,9.6,16.9
64467,2009-10-04,MelbourneAirport,7.1,18.4
64468,2009-10-05,MelbourneAirport,7.7,17.3
64469,2009-10-06,MelbourneAirport,7.6,13.0
64470,2009-10-07,MelbourneAirport,5.0,13.8
64471,2009-10-08,MelbourneAirport,4.9,15.2
64472,2009-10-09,MelbourneAirport,2.4,17.4
64473,2009-10-10,MelbourneAirport,2.4,19.5
64474,2009-10-11,MelbourneAirport,4.4,21.4
64475,2009-10-12,MelbourneAirport,9.9,22.2
64476,2009-10-13,MelbourneAirport,7.8,18.9
64477,2009-10-14,MelbourneAirport,8.0,16.4
64478,2009-10-15,MelbourneAirport,9.6,15.1
64479,2009-10-16,MelbourneAirport,5.2,16.8
64480,2009-10-17,MelbourneAirport,8.1,13.9
64481,2009-10-18,MelbourneAirport,4.3,16.2
64482,2009-10-19,MelbourneAirport,7.3,22.7
64483,2009-10-20,MelbourneAirport,11.6,28.8
64484,2009-10-21,MelbourneAirport,12.0,18.1
64485,2009-10-22,MelbourneAirport,5.6,19.2
64486,2009-10-23,MelbourneAirport,9.1,18.3
64487,2009-10-24,MelbourneAirport,3.3,20.4
64488,2009-10-25,MelbourneAirport,9.4,16.1
64489,2009-10-26,MelbourneAirport,5.9,20.1
64490,2009-10-27,MelbourneAirport,6.7,23.5
64491,2009-10-28,MelbourneAirport,9.6,22.2
64492,2009-10-29,MelbourneAirport,8.5,30.3
64493,2009-10-30,MelbourneAirport,16.6,27.7
64494,2009-10-31,MelbourneAirport,16.9,33.8
64495,2009-11-01,MelbourneAirport,14.3,19.1
64496,2009-11-02,MelbourneAirport,12.1,29.4
64497,2009-11-03,MelbourneAirport,13.5,22.0
64498,2009-11-04,MelbourneAirport,7.4,17.9
64499,2009-11-05,MelbourneAirport,10.3,18.2
64500,2009-11-06,MelbourneAirport,6.8,24.6
64501,2009-11-07,MelbourneAirport,9.5,31.4
64502,2009-11-08,MelbourneAirport,17.7,33.4
64503,2009-11-09,MelbourneAirport,17.3,34.8
64504,2009-11-10,MelbourneAirport,17.9,35.7
64505,2009-11-11,MelbourneAirport,16.6,34.7
64506,2009-11-12,MelbourneAirport,16.2,31.8
64507,2009-11-13,MelbourneAirport,11.9,28.5
64508,2009-11-14,MelbourneAirport,14.6,32.8
64509,2009-11-15,MelbourneAirport,12.3,27.3
64510,2009-11-16,MelbourneAirport,16.2,23.8
64511,2009-11-17,MelbourneAirport,13.5,22.3
64512,2009-11-18,MelbourneAirport,13.2,34.2
64513,2009-11-19,MelbourneAirport,17.1,33.8
64514,2009-11-20,MelbourneAirport,20.3,38.0
64515,2009-11-21,MelbourneAirport,16.7,25.6
64516,2009-11-22,MelbourneAirport,15.0,18.0
64517,2009-11-23,MelbourneAirport,8.7,20.6
64518,2009-11-24,MelbourneAirport,9.3,25.1
64519,2009-11-25,MelbourneAirport,12.6,26.8
64520,2009-11-26,MelbourneAirport,15.7,26.7
64521,2009-11-27,MelbourneAirport,17.5,27.1
64522,2009-11-28,MelbourneAirport,14.1,22.2
64523,2009-11-29,MelbourneAirport,12.2,19.2
64524,2009-11-30,MelbourneAirport,12.7,19.6
64525,2009-12-01,MelbourneAirport,9.3,21.4
64526,2009-12-02,MelbourneAirport,9.7,27.9
64527,2009-12-03,MelbourneAirport,16.1,32.6
64528,2009-12-04,MelbourneAirport,8.4,21.2
64529,2009-12-05,MelbourneAirport,10.6,20.4
64530,2009-12-06,MelbourneAirport,9.3,26.0
64531,2009-12-07,MelbourneAirport,14.3,23.0
64532,2009-12-08,MelbourneAirport,13.0,15.8
64533,2009-12-09,MelbourneAirport,7.7,23.9
64534,2009-12-10,MelbourneAirport,12.2,24.1
64535,2009-12-11,MelbourneAirport,9.0,19.6
64536,2009-12-12,MelbourneAirport,12.4,21.6
64537,2009-12-13,MelbourneAirport,12.9,20.1
64538,2009-12-14,MelbourneAirport,13.2,19.8
64539,2009-12-15,MelbourneAirport,10.3,29.9
64540,2009-12-16,MelbourneAirport,16.1,37.9
64541,2009-12-17,MelbourneAirport,18.3,21.8
64542,2009-12-18,MelbourneAirport,8.4,23.3
64543,2009-12-19,MelbourneAirport,13.5,20.3
64544,2009-12-20,MelbourneAirport,13.3,21.7
64545,2009-12-21,MelbourneAirport,9.7,27.3
64546,2009-12-22,MelbourneAirport,12.8,26.4
64547,2009-12-23,MelbourneAirport,13.1,38.6
64548,2009-12-24,MelbourneAirport,20.3,26.2
64549,2009-12-25,MelbourneAirport,12.5,19.9
64550,2009-12-26,MelbourneAirport,11.5,20.9
64551,2009-12-27,MelbourneAirport,11.5,23.6
64552,2009-12-28,MelbourneAirport,16.3,25.2
64553,2009-12-29,MelbourneAirport,14.0,25.2
64554,2009-12-30,MelbourneAirport,14.5,36.8
64555,2009-12-31,MelbourneAirport,20.0,36.2
64556,2010-01-01,MelbourneAirport,18.6,18.7
64557,2010-01-02,MelbourneAirport,13.8,20.1
64558,2010-01-03,MelbourneAirport,10.9,19.5
64559,2010-01-04,MelbourneAirport,11.9,26.5
64560,2010-01-05,MelbourneAirport,13.5,24.6
64561,2010-01-06,MelbourneAirport,14.0,21.8
64562,2010-01-07,MelbourneAirport,12.4,23.8
64563,2010-01-08,MelbourneAirport,12.0,34.8
64564,2010-01-09,MelbourneAirport,19.2,38.2
64565,2010-01-10,MelbourneAirport,14.7,32.0
64566,2010-01-11,MelbourneAirport,15.5,42.5
64567,2010-01-12,MelbourneAirport,28.8,35.5
64568,2010-01-13,MelbourneAirport,14.5,20.7
64569,2010-01-14,MelbourneAirport,13.3,21.9
64570,2010-01-15,MelbourneAirport,13.2,26.7
64571,2010-01-16,MelbourneAirport,12.7,33.8
64572,2010-01-17,MelbourneAirport,10.5,20.9
64573,2010-01-18,MelbourneAirport,8.7,19.6
64574,2010-01-19,MelbourneAirport,10.4,22.8
64575,2010-01-20,MelbourneAirport,11.7,28.3
64576,2010-01-21,MelbourneAirport,15.0,28.7
64577,2010-01-22,MelbourneAirport,17.2,38.4
64578,2010-01-23,MelbourneAirport,15.3,21.1
64579,2010-01-24,MelbourneAirport,8.6,22.5
64580,2010-01-25,MelbourneAirport,13.6,24.3
64581,2010-01-26,MelbourneAirport,11.3,25.6
64582,2010-01-27,MelbourneAirport,15.2,22.0
64583,2010-01-28,MelbourneAirport,12.0,26.5
64584,2010-01-29,MelbourneAirport,16.2,22.0
64585,2010-01-30,MelbourneAirport,10.3,36.1
64586,2010-01-31,MelbourneAirport,16.6,37.2
64587,2010-02-01,MelbourneAirport,15.2,23.7
64588,2010-02-02,MelbourneAirport,14.7,35.2
64589,2010-02-03,MelbourneAirport,21.4,35.5
64590,2010-02-04,MelbourneAirport,24.0,29.2
64591,2010-02-05,MelbourneAirport,16.0,19.0
64592,2010-02-06,MelbourneAirport,14.6,26.4
64593,2010-02-07,MelbourneAirport,12.6,32.6
64594,2010-02-08,MelbourneAirport,16.0,35.6
64595,2010-02-09,MelbourneAirport,16.1,34.6
64596,2010-02-10,MelbourneAirport,18.2,34.5
64597,2010-02-11,MelbourneAirport,18.1,31.3
64598,2010-02-12,MelbourneAirport,18.1,20.8
64599,2010-02-13,MelbourneAirport,14.7,20.8
64600,2010-02-14,MelbourneAirport,16.3,26.9
64601,2010-02-15,MelbourneAirport,17.2,26.0
64602,2010-02-16,MelbourneAirport,13.8,26.1
64603,2010-02-17,MelbourneAirport,13.8,25.3
64604,2010-02-18,MelbourneAirport,15.3,25.1
64605,2010-02-19,MelbourneAirport,13.8,32.6
64606,2010-02-20,MelbourneAirport,21.0,34.1
64607,2010-02-21,MelbourneAirport,19.9,29.4
64608,2010-02-22,MelbourneAirport,16.4,28.7
64609,2010-02-23,MelbourneAirport,10.0,22.5
64610,2010-02-24,MelbourneAirport,9.1,23.5
64611,2010-02-25,MelbourneAirport,9.4,25.8
64612,2010-02-26,MelbourneAirport,12.9,32.7
64613,2010-02-27,MelbourneAirport,21.6,21.8
64614,2010-02-28,MelbourneAirport,14.3,20.0
64615,2010-03-01,MelbourneAirport,13.2,20.3
64616,2010-03-02,MelbourneAirport,12.4,21.1
64617,2010-03-03,MelbourneAirport,15.0,27.9
64618,2010-03-04,MelbourneAirport,13.5,30.5
64619,2010-03-05,MelbourneAirport,18.1,27.0
64620,2010-03-06,MelbourneAirport,17.3,28.0
64621,2010-03-07,MelbourneAirport,15.8,25.9
64622,2010-03-08,MelbourneAirport,15.9,21.9
64623,2010-03-09,MelbourneAirport,14.7,19.3
64624,2010-03-10,MelbourneAirport,11.7,18.3
64625,2010-03-11,MelbourneAirport,10.5,20.1
64626,2010-03-12,MelbourneAirport,10.2,24.8
64627,2010-03-13,MelbourneAirport,11.0,26.4
64628,2010-03-14,MelbourneAirport,12.5,27.2
64629,2010-03-15,MelbourneAirport,13.3,28.8
64630,2010-03-16,MelbourneAirport,18.8,30.9
64631,2010-03-17,MelbourneAirport,20.8,32.5
64632,2010-03-18,MelbourneAirport,18.6,31.0
64633,2010-03-19,MelbourneAirport,21.2,29.1
64634,2010-03-20,MelbourneAirport,16.2,24.8
64635,2010-03-21,MelbourneAirport,14.5,24.0
64636,2010-03-22,MelbourneAirport,9.9,21.0
64637,2010-03-23,MelbourneAirport,9.6,22.9
64638,2010-03-24,MelbourneAirport,14.2,21.7
64639,2010-03-25,MelbourneAirport,12.5,29.9
64640,2010-03-26,MelbourneAirport,14.2,29.6
64641,2010-03-27,MelbourneAirport,16.0,21.9
64642,2010-03-28,MelbourneAirport,16.2,26.2
64643,2010-03-29,MelbourneAirport,17.0,21.8
64644,2010-03-30,MelbourneAirport,11.2,20.0
64645,2010-03-31,MelbourneAirport,9.1,21.7
64646,2010-04-01,MelbourneAirport,12.0,22.4
64647,2010-04-02,MelbourneAirport,12.9,20.5
64648,2010-04-03,MelbourneAirport,11.0,21.4
64649,2010-04-04,MelbourneAirport,9.9,25.6
64650,2010-04-05,MelbourneAirport,13.0,26.3
64651,2010-04-06,MelbourneAirport,14.9,24.9
64652,2010-04-07,MelbourneAirport,15.6,24.1
64653,2010-04-08,MelbourneAirport,14.7,21.9
64654,2010-04-09,MelbourneAirport,9.9,22.3
64655,2010-04-10,MelbourneAirport,13.4,22.0
64656,2010-04-11,MelbourneAirport,11.2,16.6
64657,2010-04-12,MelbourneAirport,9.4,18.3
64658,2010-04-13,MelbourneAirport,10.4,16.6
64659,2010-04-14,MelbourneAirport,11.2,16.8
64660,2010-04-15,MelbourneAirport,12.1,17.9
64661,2010-04-16,MelbourneAirport,13.5,25.1
64662,2010-04-17,MelbourneAirport,10.3,27.2
64663,2010-04-18,MelbourneAirport,16.2,26.6
64664,2010-04-19,MelbourneAirport,14.3,27.4
64665,2010-04-20,MelbourneAirport,16.1,28.9
64666,2010-04-21,MelbourneAirport,14.3,23.7
64667,2010-04-22,MelbourneAirport,13.5,29.4
64668,2010-04-23,MelbourneAirport,19.0,27.2
64669,2010-04-24,MelbourneAirport,18.3,23.9
64670,2010-04-25,MelbourneAirport,9.0,18.8
64671,2010-04-26,MelbourneAirport,6.6,18.7
64672,2010-04-27,MelbourneAirport,10.6,17.9
64673,2010-04-28,MelbourneAirport,6.8,17.9
64674,2010-04-29,MelbourneAirport,10.8,16.8
64675,2010-04-30,MelbourneAirport,10.5,16.0
64676,2010-05-01,MelbourneAirport,7.6,20.1
64677,2010-05-02,MelbourneAirport,12.4,16.8
64678,2010-05-03,MelbourneAirport,6.1,22.8
64679,2010-05-04,MelbourneAirport,11.0,23.8
64680,2010-05-05,MelbourneAirport,6.4,16.1
64681,2010-05-06,MelbourneAirport,8.9,16.8
64682,2010-05-07,MelbourneAirport,8.3,19.7
64683,2010-05-08,MelbourneAirport,9.7,19.2
64684,2010-05-09,MelbourneAirport,10.1,21.8
64685,2010-05-10,MelbourneAirport,13.0,20.1
64686,2010-05-11,MelbourneAirport,6.6,13.8
64687,2010-05-12,MelbourneAirport,5.3,14.1
64688,2010-05-13,MelbourneAirport,7.3,14.2
64689,2010-05-14,MelbourneAirport,10.2,14.0
64690,2010-05-15,MelbourneAirport,10.7,16.4
64691,2010-05-16,MelbourneAirport,4.2,17.5
64692,2010-05-17,MelbourneAirport,6.2,16.7
64693,2010-05-18,MelbourneAirport,4.2,17.4
64694,2010-05-19,MelbourneAirport,4.9,17.9
64695,2010-05-20,MelbourneAirport,5.1,17.7
64696,2010-05-21,MelbourneAirport,8.1,14.5
64697,2010-05-22,MelbourneAirport,2.8,14.4
64698,2010-05-23,MelbourneAirport,2.1,17.8
64699,2010-05-24,MelbourneAirport,6.6,14.6
64700,2010-05-25,MelbourneAirport,10.8,13.3
64701,2010-05-26,MelbourneAirport,11.0,18.2
64702,2010-05-27,MelbourneAirport,7.9,18.4
64703,2010-05-28,MelbourneAirport,7.7,17.0
64704,2010-05-29,MelbourneAirport,11.4,16.3
64705,2010-05-30,MelbourneAirport,10.4,16.9
64706,2010-05-31,MelbourneAirport,9.4,16.6
64707,2010-06-01,MelbourneAirport,6.3,17.3
